Date,Open,High,Low,Close,Volume
2024-12-09,104.0,104.0,103.0,104.0,46000.0
2024-12-10,107.5,109.0,105.5,106.5,95106.0
2024-12-11,106.0,107.0,105.0,106.5,42000.0
2024-12-12,106.5,106.5,105.5,105.5,50000.0
2024-12-13,105.5,105.5,104.5,104.5,24000.0
2024-12-16,104.5,105.0,104.0,105.0,23000.0
2024-12-17,105.0,105.5,104.0,104.5,45000.0
2024-12-18,104.5,105.0,104.0,104.5,26000.0
2024-12-19,104.5,104.5,103.5,103.5,34000.0
2024-12-20,103.5,105.0,103.5,104.5,43000.0
2024-12-23,104.5,105.0,104.0,105.0,20225.0
2024-12-24,105.5,105.5,103.5,104.0,43000.0
2024-12-25,105.0,105.0,103.5,103.5,33100.0
2024-12-26,104.0,104.0,103.0,103.0,24000.0
2024-12-27,104.0,104.0,103.0,103.5,76000.0
2024-12-30,104.0,104.0,103.0,103.0,16000.0
2024-12-31,103.0,106.5,103.0,106.0,141099.0
2025-01-02,107.0,108.0,104.5,105.0,118039.0
2025-01-03,105.5,105.5,102.5,104.0,71023.0
2025-01-06,105.0,105.0,104.0,104.0,29100.0
2025-01-07,105.0,105.0,103.5,104.0,27000.0
2025-01-08,103.5,103.5,100.0,100.5,224046.0
2025-01-09,100.5,100.5,97.0,97.1999969482422,467000.0
2025-01-10,97.1999969482422,97.1999969482422,94.1999969482422,94.3000030517578,350000.0
2025-01-13,94.5999984741211,95.0,90.0999984741211,92.3000030517578,307000.0
2025-01-14,92.5,95.9000015258789,92.5,95.0999984741211,42000.0
2025-01-15,94.9000015258789,94.9000015258789,91.3000030517578,91.5,175000.0
2025-01-16,92.8000030517578,95.5,92.1999969482422,94.0,256000.0
2025-01-17,94.4000015258789,94.9000015258789,93.0,94.0,90000.0
2025-01-20,95.5,99.5999984741211,95.3000030517578,97.9000015258789,202000.0
2025-01-21,97.5,99.5999984741211,97.5,98.1999969482422,78133.0
2025-01-22,99.0,99.9000015258789,99.0,99.4000015258789,95000.0
2025-02-03,99.3000030517578,99.4000015258789,98.3000030517578,99.0999984741211,31000.0
2025-02-04,99.1999969482422,101.0,99.1999969482422,100.5,55000.0
2025-02-05,101.0,101.5,100.5,101.5,36000.0
2025-02-06,102.0,102.5,101.5,102.5,51000.0
2025-02-07,102.5,103.0,102.0,102.5,26000.0
2025-02-10,104.0,104.0,103.0,103.5,105010.0
2025-02-11,104.5,105.0,104.0,104.5,33000.0
2025-02-12,105.0,109.0,104.5,109.0,198011.0
2025-02-13,109.0,110.5,108.0,109.5,115007.0
2025-02-14,109.0,109.0,106.0,106.0,75020.0
2025-02-17,107.5,109.0,106.0,108.5,105000.0
2025-02-18,107.5,108.0,107.0,108.0,41000.0
2025-02-19,107.5,111.5,107.5,109.5,182000.0
2025-02-20,110.0,110.5,109.0,109.5,45001.0
2025-02-21,109.0,115.0,109.0,112.0,261019.0
2025-02-24,111.5,113.0,111.0,111.5,77000.0
2025-02-25,111.5,111.5,109.5,109.5,74019.0
2025-02-26,109.0,109.5,107.5,107.5,113055.0
2025-02-27,108.0,108.5,107.0,108.0,55000.0
2025-03-03,107.5,109.5,107.0,109.0,45030.0
2025-03-04,109.0,110.0,108.5,109.5,40000.0
2025-03-05,109.5,110.5,109.5,110.5,45000.0
2025-03-06,111.0,115.0,111.0,111.5,258499.0
2025-03-07,112.5,112.5,108.0,108.5,270106.0
2025-03-10,108.0,109.0,106.0,106.5,126000.0
2025-03-11,105.0,111.0,103.0,109.0,242000.0
2025-03-12,109.0,110.0,108.0,109.0,64000.0
2025-03-13,108.5,112.5,108.5,109.5,246000.0
2025-03-14,109.5,110.0,108.0,108.0,49005.0
2025-03-17,109.0,109.0,107.0,107.0,37005.0
2025-03-18,108.0,108.0,105.0,105.5,254001.0
2025-03-19,105.5,105.5,101.0,102.0,325000.0
2025-03-20,103.0,103.5,100.5,101.0,295000.0
2025-03-21,101.0,101.5,100.5,101.0,97495.0
2025-03-24,101.0,101.5,100.0,100.5,77000.0
2025-03-25,100.5,100.5,99.0999984741211,99.5999984741211,184646.0
