Date,Open,High,Low,Close,Volume
2024-12-09,210.5,215.0,202.0,203.5,23103000.0
2024-12-10,200.5,208.0,187.5,188.5,30917000.0
2024-12-11,188.0,193.0,183.5,185.5,17962000.0
2024-12-12,190.5,190.5,180.0,181.5,18646000.0
2024-12-13,182.5,184.5,167.0,170.5,26857000.0
2024-12-16,172.0,173.0,165.0,167.0,18905000.0
2024-12-17,168.0,174.5,165.0,174.5,14153000.0
2024-12-18,170.0,170.0,161.0,166.5,19117000.0
2024-12-19,162.0,178.0,161.0,175.0,26506000.0
2024-12-20,173.5,178.0,169.0,171.5,20253000.0
2024-12-23,174.0,178.0,172.5,173.0,10756000.0
2024-12-24,175.0,175.5,166.5,166.5,8263000.0
2024-12-25,168.5,181.5,168.0,181.0,25546000.0
2024-12-26,181.0,185.0,176.0,185.0,26204000.0
2024-12-27,186.0,187.0,179.5,180.5,24863000.0
2024-12-30,182.0,188.0,177.5,178.0,20042000.0
2024-12-31,177.5,188.0,177.0,188.0,17931000.0
2025-01-02,190.0,198.0,188.5,191.0,40390000.0
2025-01-03,194.5,210.0,193.5,205.5,63692000.0
2025-01-06,207.5,208.5,196.5,198.0,34886000.0
2025-01-07,200.0,202.0,195.0,201.0,21796000.0
2025-01-08,200.0,208.0,197.0,208.0,18492000.0
2025-01-09,207.5,211.0,199.0,203.0,34553000.0
2025-01-10,204.0,210.0,203.0,205.0,25284000.0
2025-01-13,203.0,203.5,186.5,194.0,32104000.0
2025-01-14,197.0,198.0,188.5,190.0,23711000.0
2025-01-15,189.0,196.0,188.0,188.5,18563000.0
2025-01-16,192.5,207.0,191.5,205.0,34619000.0
2025-01-17,204.0,206.0,195.5,198.0,25177000.0
2025-01-20,198.0,202.5,193.5,200.5,11456000.0
2025-01-21,203.5,220.5,201.5,220.5,37144000.0
2025-01-22,224.0,242.5,224.0,242.5,52162000.0
2025-02-03,227.5,239.0,219.0,232.0,57402105.0
2025-02-04,239.0,245.5,219.5,223.5,59271452.0
2025-02-05,229.0,232.0,221.0,221.5,31454093.0
2025-02-06,225.0,232.0,223.0,228.0,29725385.0
2025-02-07,230.0,250.5,224.0,250.5,39630507.0
2025-02-10,251.5,264.5,245.0,247.0,56917324.0
2025-02-11,248.5,255.0,242.0,247.0,41572490.0
2025-02-12,246.5,253.0,222.5,222.5,46694047.0
2025-02-13,221.5,227.5,217.0,225.5,31863146.0
2025-02-14,227.0,229.0,216.5,222.0,23243277.0
2025-02-17,225.0,233.5,217.5,219.0,31134285.0
2025-02-18,220.0,222.5,208.5,217.5,31849815.0
2025-02-19,217.5,221.0,213.0,213.0,17223453.0
2025-02-20,215.0,216.5,204.5,206.0,16816502.0
2025-02-21,206.5,217.0,201.5,212.5,24220589.0
2025-02-24,208.0,209.0,202.5,206.0,17040303.0
2025-02-25,203.5,209.0,200.5,203.5,15325246.0
2025-02-26,202.0,209.0,202.0,204.0,13371470.0
2025-02-27,206.5,209.0,189.5,192.0,25615498.0
2025-03-03,187.5,191.5,180.0,182.5,18861273.0
2025-03-04,179.0,190.5,177.0,187.0,21923930.0
2025-03-05,187.0,193.5,185.0,187.0,16198861.0
2025-03-06,187.0,189.0,180.0,183.5,20658522.0
2025-03-07,182.5,189.0,180.0,180.0,13484905.0
2025-03-10,181.5,184.5,173.0,179.5,20982876.0
2025-03-11,175.0,175.5,170.0,171.5,17198742.0
2025-03-12,175.0,187.0,175.0,179.5,26222519.0
2025-03-13,184.0,188.5,181.5,183.5,26218655.0
2025-03-14,187.0,190.0,181.5,187.0,26305135.0
2025-03-17,192.0,197.5,189.0,189.0,32886160.0
2025-03-18,190.0,191.5,183.0,183.5,16034735.0
2025-03-19,182.5,184.0,172.5,173.0,21462954.0
2025-03-20,177.0,183.0,175.5,178.5,23224896.0
2025-03-21,180.5,184.5,175.0,184.0,19443883.0
2025-03-24,191.0,202.0,190.5,202.0,48086431.0
2025-03-25,208.5,209.0,193.0,195.0,58816397.0
2025-03-26,196.0,199.5,192.0,199.0,22720539.0
2025-03-27,195.0,198.0,189.5,189.5,20762671.0
2025-03-28,188.0,188.5,177.5,181.5,18226411.0
2025-03-31,171.5,176.0,166.0,168.5,19228085.0
2025-04-01,172.0,173.5,164.5,164.5,15740059.0
2025-04-02,166.5,169.5,163.5,168.0,13211257.0
2025-04-07,151.5,151.5,151.5,151.5,167239.0
2025-04-08,136.5,136.5,136.5,136.5,1180421.0
2025-04-09,123.0,123.0,123.0,123.0,548342.0
2025-04-10,135.0,135.0,132.0,135.0,5780981.0
2025-04-11,121.5,130.5,121.5,130.5,15860657.0
2025-04-14,133.5,143.0,131.0,133.0,29910646.0
2025-04-15,138.5,146.0,136.5,146.0,14981181.0
2025-04-16,150.0,151.5,143.0,145.0,53573198.0
2025-04-17,147.5,148.5,143.5,145.0,25115914.0
2025-04-18,145.0,146.0,139.5,143.5,18555540.0
2025-04-21,146.0,148.5,131.0,131.0,18975230.0
2025-04-22,134.0,144.0,133.5,142.5,26700908.0
2025-04-23,145.0,152.5,143.0,143.0,33680334.0
2025-04-24,146.0,147.0,142.0,142.0,12100216.0
2025-04-25,149.0,155.0,146.5,149.0,26350678.0
2025-04-28,152.0,158.5,152.0,154.0,31617078.0
2025-04-29,153.0,157.0,151.5,157.0,14773523.0
2025-04-30,158.0,159.0,151.0,153.0,18846787.0
2025-05-02,157.5,159.5,153.0,154.0,16857376.0
2025-05-05,156.5,157.0,140.0,145.5,16606290.0
2025-05-06,143.5,151.0,143.5,148.5,11566146.0
2025-05-07,149.0,151.5,144.5,148.5,16508399.0
2025-05-08,151.0,151.5,146.5,151.0,14831081.0
2025-05-09,151.0,166.0,151.0,166.0,45077909.0
2025-05-12,170.0,171.5,163.0,163.5,39809478.0
